Votes,Unique,Game,Song,Link,-Chaos-Zero-,-hotdogturtle--,AcireExists,afrono,andylt,Arti,azuarc,banshiryuu,barreldragon88,bebr117,cakophon,Chaeix,Chinballz,Collen,DanKirby,DEM1995,DireKrow,Disillusion,dowolf,failgirlema,FL81,Flamander,Fluttershy_Pony,Gall,GameBopAdv,GhostyMega,GinNoIshi,Haste_2,HBJDubs,Hbthebattle,HidekuniHorita,hunjreds,Huntmaster95,Isquen,Janus5k,JONA,kamakazikila,KCF0107,Kecleon352,Korji,LkProd,loweffortmemes,MacArrowny,maple_violet,MarkS2222222222,MaxGalactica,Mihark,MoonRunes,NFUN,OrangeCrush980,Paratroopa1,PIayer_0,Place,Plasman,Prince46,Prody_Parrot,PunishedJeezy,pyresword,Rikalaya28,rwlh,sergiocornaga,skulltrumpets,slykirby,tazzyboyishere,TeamRocketElite,tgs2,th3l3fty,TheArkOfTurus,Thorn,Tked,TunnelScene,UF8,Xarnax42,Xuxon,xx521xx,ZelRaat,zts
6,6,Sonic Frontiers,Undefeatable,https://www.youtube.com/watch?v=-oAt1VjLnJc,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,Sonic Heroes,Team Chaotix,https://www.youtube.com/watch?v=YhZbRQhxxj0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,Limbus Company,"In Hell We Live, Lament",https://www.youtube.com/watch?v=XfTWgMgknpY,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,6,Kururin Paradise,Neo Land,https://youtu.be/vlonUoUfnlk,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,Halo 2,Blow Me Away,https://www.youtube.com/watch?v=ePLDO68lcA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6,5,The Legend of Heroes: Trails in the Sky,Sophisticated Fight,https://www.youtube.com/watch?v=Um5EbReY7rA,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,pop'n music UniLab,Head Scratcher,https://www.youtube.com/watch?v=PO39yXf7E-A,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,Dead or Alive 3,Eternity (Kasumi),https://www.youtube.com/watch?v=TN90KP4XU-Y,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,5,Ollie King,The Concept of Love (The Concept of Passion Mix),https://www.youtube.com/watch?v=hOUFAYsZuGg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,5,Goddess of Victory: NIKKE,TuNGSTeN,https://www.youtube.com/watch?v=DQDs56LuKEs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,Katamari Damacy,Angel Gifts,https://www.youtube.com/watch?v=RbeyIZC4oEQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,BLACK BIRD ~Toritachi no Tooboe~,Howling of the Birds,https://www.youtube.com/watch?v=20dA348734E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
6,4,Karous,you can't fxxk me,https://youtu.be/74Ge2CrjFCA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,Mario & Luigi: Bowser's Inside Story,The Grand Finale,https://www.youtube.com/watch?v=NIUkK_P-5ak,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,4,Pokemon X/Y,Champion Diantha,https://www.youtube.com/watch?v=xpgQa-TOk0M,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
6,4,Solstice,Title,https://www.youtube.com/watch?v=4_gObHt1uZA,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
6,4,The Legend of Zelda: Spirit Tracks,Realm Overworld (Full Steam Ahead!),https://youtu.be/5W_bFLwB0WY,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
6,4,dodonpachi DAI-OU-JOU Re:incarnation -SAISEIROKU-,Takmi (Hommarju Extend Remix),https://youtu.be/pqyGf8Lb1LM?si=yjdeztL1ZOKDKd_M,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
6,4,Metal Gear Solid,The Best Is Yet To Come,https://www.youtube.com/watch?v=t1bzqjoZyeQ38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
6,4,Atelier Resleriana,The Whereabouts of Life,https://www.youtube.com/watch?v=OPnQvh1q0XY,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
