Votes,Unique,Game,Song,Link,-hotdogturtle--,Akkrillic,Arti,azuarc,Baconus_Yum,banshiryuu,Bluenugget64,Bossman_Coolguy,cakophon,Chuck_Tingle,Collen,DireKrow,dowolf,DragonImps,FL81,Flamander,GameBopAdv,handsomeboy2012,Haste_2,HBJDubs,Hbthebattle,Janus5k,JONALEON1,KanzarisKelshen,kaonashi1,KCF0107,Kikoman589,loweffortmemes,Mac Arrowny,MadamEglat,missadelyn,MoonRunes,NFUN,PabloSmith,PIayer_0,Place,Plasman,Prody Parrot,pyresword,Raetsel_Lapin,rwlh,RySenkari,sergiocornaga,Snake5555555555,tazzyboyishere,Team Rocket Elite,tennisboy213,TheArkOfTurus,Tked,Toxtricity,trdl23,TsunamiXXVIII,UF8,xarlable,xp1337,ZelRaat,Zigzagoon,Zyxyz0
5,4,VVVVVV,Pressure Cooker,https://youtu.be/3Gj_88IMv3o,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2,Tales of Zestiria,Rising Up,https://www.youtube.com/watch?v=3qSoLwky5Gw,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,Nier,Kaine ~ Salvation,https://www.youtube.com/watch?v=viDKam_hmGM,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,Super Smash Bros. Brawl,Snowman,https://www.youtube.com/watch?v=P1Md2ODg-0M,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,2,Europa Universalis IV,Ride Forth Victoriously,https://www.youtube.com/watch?v=pO_UqoIDJO0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,Hive Jump,Burninating the Jumpers (Lava Caverns),https://www.youtube.com/watch?v=CPHz6QIMfCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,Beat Saber,Escape,https://www.youtube.com/watch?v=-DAZwsSbaqM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,Mr. Driller,Heading Back to Town,https://www.youtube.com/watch?v=f2FGNMULSY4,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,2,A Hat in Time,Rush Hour,https://www.youtube.com/watch?v=OXBcBugpHZg,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,Braid,Undercurrent,https://www.youtube.com/watch?v=6dNu2b8GdXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,Final Fantasy XIII-2,Paradox,https://www.youtube.com/watch?v=UhPRByQPbzE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,Ogre Battle,Neo-Overture,https://www.youtube.com/watch?v=C87AFzsWvnY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,Child of Light,Off to Sleep,https://www.youtube.com/watch?v=GsvAyEyi9Fg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,Last Ninja 2,Central Park,https://www.youtube.com/watch?v=CoGFV_xxR64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,Frozen Synapse,Triumph,https://www.youtube.com/watch?v=HJKvoIvv6SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,Yakuza Ishin!,Bodhisattva Kill,https://www.youtube.com/watch?v=UwVlXEuaZ80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,Girls Frontline Singularity,What am I Fighting for,https://www.youtube.com/watch?v=s7XiNTrm0G0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
